TRAINING_DATA_TYPE,QUESTIONS,CONTENT,ALTERNATE QUESTIONS
sql,Give the forecast quantity for a product across multiple locations for future 3 months.,"SELECT f.PRODUCT, f.LOCATION, SUM(f.QUANTITY) AS FORECAST_QUANTITY,f.forecast_date AS FORECAST_DATE  FROM [FORECAST] f WHERE f.FORECAST_DATE IN (FORMAT(DATEADD(MONTH, DATEDIFF(MONTH, 0, GETDATE())+1, 0), 'yyyy-dd-MM'), FORMAT(DATEADD(MONTH, DATEDIFF(MONTH, 0, GETDATE())+2, 0), 'yyyy-dd-MM'), FORMAT(DATEADD(MONTH, DATEDIFF(MONTH, 0, GETDATE())+3, 0), 'yyyy-dd-MM')) GROUP BY f.PRODUCT, f.LOCATION,f.forecast_date; 
","1.	Give the forecasted quantity for each product by location for the next three months.
2.	Show the forecast quantities for products across various locations for the upcoming three months.
3.	Can you provide the forecast data for products and locations for the next three months?
4.	Identify the forecast quantities for different products in multiple locations for the upcoming three months."
sql,List the active customers along with their sales offices.,"select cm.customer as CUSTOMER_CODE, cm.DESCRIPTION AS CUSTOMER_NAME, cm.SALES_OFFICE from [CUSTOMER_MASTER] cm where cm.ACTIVE_CUSTOMER='TRUE';","1.	Identify all active customers and their corresponding sales office details.
2.	What are the names and codes of active customers along with their sales offices?
3.	Show me the list of active customers and the sales offices they are associated with.
4.	Can you provide details of active customers, including their customer codes and sales offices?
5.	Retrieve the active customer information along with their sales office assignments."
sql,Give a list of all replenishment SKUs for all locations.,"select SKU AS PRODUCT,LOCATION, SCM_STRATEGY AS STRATEGY from [REPLENISHMENT_SKU];","1.	What are the replenishment SKUs along with their associated locations and strategies?
2.	List all SKUs used for replenishment across different locations and their corresponding strategies.
3.	Can you provide details of replenishment SKUs, including their locations and supply chain strategies?"
sql,Give the last 3 months sales history for STP_MS_WEST_Mumbai HO customer and HRPO_CL_HSLA_1.50-1.99_1101-1890 product.,"select customer AS CUSTOMER, product AS PRODUCT, location AS LOCATION, SUM(quantity) AS SALES, SALES_DATE from [SALES_HISTORY] where customer='STP_MS_WEST_Mumbai HO' and product= 'HRPO_CL_HSLA_1.50-1.99_1101-1890' and SALES_DATE IN (FORMAT(DATEADD(MONTH, DATEDIFF(MONTH, 0, GETDATE())-1, 0), 'yyyy-dd-MM'), FORMAT(DATEADD(MONTH, DATEDIFF(MONTH, 0, GETDATE())-2, 0), 'yyyy-dd-MM'), FORMAT(DATEADD(MONTH, DATEDIFF(MONTH, 0, GETDATE())-3, 0), 'yyyy-dd-MM')) GROUP BY customer, product, location,SALES_DATE;","1.	What are the sales records for the last three months for customer STP_MS_WEST_Mumbai HO and product HRPO_CL_HSLA_1.50-1.99_1101-1890?
2.	Can you provide details of the last three months' sales for customer STP_MS_WEST_Mumbai HO related to product HRPO_CL_HSLA_1.50-1.99_1101-1890?"
sql,Give the last 6 months sales history for PRY_OE_NORTH_Ghaziabad customer and  HRPO_CL_HSLA_1.50-1.99_1101-1890 product.,"SELECT customer AS CUSTOMER, product AS PRODUCT, location AS LOCATION, SUM(quantity) AS SALES, SALES_DATE FROM [SALES_HISTORY] WHERE customer = 'PRY_OE_NORTH_Ghaziabad' AND product = 'HRPO_CL_HSLA_1.50-1.99_1101-1890' AND SALES_DATE IN (FORMAT(DATEADD(MONTH, DATEDIFF(MONTH, 0, GETDATE())-1, 0), 'yyyy-dd-MM'),FORMAT(DATEADD(MONTH, DATEDIFF(MONTH, 0, GETDATE())-2, 0), 'yyyy-dd-MM'), FORMAT(DATEADD(MONTH, DATEDIFF(MONTH, 0, GETDATE())-3, 0), 'yyyy-dd-MM'),FORMAT(DATEADD(MONTH, DATEDIFF(MONTH, 0, GETDATE())-4, 0), 'yyyy-dd-MM'),FORMAT(DATEADD(MONTH, DATEDIFF(MONTH, 0, GETDATE())-5, 0), 'yyyy-dd-MM'),FORMAT(DATEADD(MONTH, DATEDIFF(MONTH, 0, GETDATE())-6, 0), 'yyyy-dd-MM')) GROUP BY customer, product, location,SALES_DATE;","1.	Give the sales records for the last six months for customer PRY_OE_NORTH_Ghaziabad and product HRPO_CL_HSLA_1.50-1.99_1101-1890.
2.	Can you provide a summary of the last six months' sales for customer PRY_OE_NORTH_Ghaziabad related to product HRPO_CL_HSLA_1.50-1.99_1101-1890?
3.	Identify the sales figures for the last six months for the customer PRY_OE_NORTH_Ghaziabad related to product HRPO_CL_HSLA_1.50-1.99_1101-1890."
sql,Identify customers with no sales in the last 6 months.,"select customer AS CUSTOMER,product AS PRODUCT,LOCATION, SUM(quantity) AS SALES, SALES_DATE from [SALES_HISTORY] where QUANTITY=0 and SALES_DATE IN (FORMAT(DATEADD(MONTH, DATEDIFF(MONTH, 0, GETDATE())-1, 0), 'yyyy-dd-MM'), FORMAT(DATEADD(MONTH, DATEDIFF(MONTH, 0, GETDATE())-2, 0),'yyyy-dd-MM'), FORMAT(DATEADD(MONTH, DATEDIFF(MONTH, 0, GETDATE())-3, 0), 'yyyy-dd-MM'),FORMAT(DATEADD(MONTH, DATEDIFF(MONTH, 0, GETDATE())-4, 0), 'yyyy-dd-MM'),FORMAT(DATEADD(MONTH, DATEDIFF(MONTH, 0, GETDATE())-5, 0), 'yyyy-dd-MM'),FORMAT(DATEADD(MONTH, DATEDIFF(MONTH, 0, GETDATE())-6, 0), 'yyyy-dd-MM')) GROUP BY customer, product, LOCATION, SALES_DATE;","1.	List the customers and products that recorded zero sales in the past six months.
2.	Give the details of customers and locations with no sales activity over the last six months.
3.	Can you provide a summary of customers who did not make any sales in previous 6 months?
4.	Identify the products sold by customers that had no sales recorded in the last six months.
5.	What is the sales history for customers with zero sales in the last six months?
6.	Highlight the customers and their locations that have not recorded any sales in the previous six months."
sql,Give me the underperforming SKUs based on forecast and sales history data for previous month.,"SELECT f.PRODUCT,  f.FORECAST as FORECAST_QUANTITY, f.SALES AS ACTUAL_SALES, f.START_DATE,CASE  WHEN f.MAPE > 100 THEN 0 ELSE (100 - f.MAPE) END AS FORECAST_ACCURACY FROM FCSTPERFSTATIC f LEFT JOIN [LOCATION_MASTER] l ON f.LOCATION = l.LOCATION LEFT JOIN [PRODUCT_MASTER] p ON f.PRODUCT = p.PRODUCT LEFT JOIN [CUSTOMER_MASTER] c ON f.CUSTOMER = c.CUSTOMER WHERE f.START_DATE IN (FORMAT(DATEADD(MONTH, DATEDIFF(MONTH, 0, GETDATE())-1, 0), 'yyyy-MM-dd')) and lag=0 and (l.LEVEL = 1  AND p.LEVEL = 1 AND c.CUSTOMER_LEVEL = 1 AND ABS(100 - f.MAPE)<50) order by FORECAST_ACCURACY desc;","1.	What are the SKUs with forecast accuracy below 50% based on last month’s sales data?
2.	List the products that achieved a forecast accuracy of less than 50% in the previous month’s sales figures.
3.	What are the forecasted quantities and actual sales for products with MAPE values indicating poor accuracy from last month?
4.	Can you summarize the sales performance of SKUs that underperformed according to their forecast data for last month?"
sql,Mention the underperforming Product Group based on forecast and sales history data for previous month.,"SELECT f.PRODUCT,  f.FORECAST as FORECAST_QUANTITY, f.SALES,f.START_DATE, CASE  WHEN f.MAPE > 100 THEN 0 ELSE (100 - f.MAPE) END AS FORECAST_ACCURACY FROM FCSTPERFSTATIC f LEFT JOIN [LOCATION_MASTER] l ON f.LOCATION = l.LOCATION LEFT JOIN [PRODUCT_MASTER] p ON f.PRODUCT = p.PRODUCT LEFT JOIN [CUSTOMER_MASTER] c ON f.CUSTOMER = c.CUSTOMER WHERE f.START_DATE IN (FORMAT(DATEADD(MONTH, DATEDIFF(MONTH, 0, GETDATE())-1, 0), 'yyyy-MM-dd')) and lag=0 AND ((l.LEVEL = 1  AND p.LEVEL = 1 AND c.CUSTOMER_LEVEL = 1 AND (100 - f.MAPE)<50) OR (l.LEVEL = 1  AND p.LEVEL = 3 AND c.CUSTOMER_LEVEL = 3 AND (100 - f.MAPE) < 60) OR (l.LEVEL = 2 AND p.LEVEL = 4 AND c.CUSTOMER_LEVEL = 6 AND (100 - f.MAPE) < 70) OR (l.LEVEL = 2 AND p.LEVEL = 5 AND c.CUSTOMER_LEVEL = 7 AND (100 - f.MAPE) < 80) OR (l.LEVEL = 2 AND p.LEVEL = 6 AND c.CUSTOMER_LEVEL = 7 AND (100 - f.MAPE) < 85)) order by FORECAST_ACCURACY desc;","1.	How can I retrieve forecast accuracy for the previous month based on different levels of product considering underperforming forecasts?
2.	Which products had forecast accuracies below a certain threshold for the last month, segmented by levels?
3.	Provide the forecast quantities, actual sales, and forecast accuracy for the previous month, based on different underperforming product levels.
4.	What are the forecast and sales details for the previous month where the forecast accuracy is below defined thresholds at various levels of product?
5.	How can I analyze forecast accuracy for underperforming products at different levels, comparing forecast quantities to sales for the previous month?
6.	Which products have the lowest forecast accuracy for the previous month, based on various product and customer levels?"
sql,Identify the locations with low accuracy.,"SELECT f.LOCATION,L.STATE,  f.FORECAST as FORECAST_QUANTITY, f.SALES, f.START_DATE, CASE  WHEN f.MAPE > 100 THEN 0 ELSE (100 - f.MAPE) END AS FORECAST_ACCURACY FROM FCSTPERFSTATIC f LEFT JOIN [LOCATION_MASTER] l ON f.LOCATION = l.LOCATION LEFT JOIN [PRODUCT_MASTER] p ON f.PRODUCT = p.PRODUCT LEFT JOIN [CUSTOMER_MASTER] c ON f.CUSTOMER = c.CUSTOMER WHERE f.START_DATE IN (FORMAT(DATEADD(MONTH, DATEDIFF(MONTH, 0, GETDATE())-1, 0), 'yyyy-MM-dd')) and lag=0  and (l.LEVEL = 1  AND p.LEVEL = 1 AND c.CUSTOMER_LEVEL = 1 AND (100 - f.MAPE)<50) order by FORECAST_ACCURACY desc; ","1.	Which locations have a forecast accuracy below 50%, along with their respective states?
2.	Identify the locations with the lowest forecast accuracy and their corresponding sales figures.
3.	Provide the forecast and sales data for locations where the forecast accuracy is underperforming.
4.	Which states have locations with low forecast accuracy based on product and customer levels?
5.	How can I find the locations with forecast accuracy less than 50% and their associated sales and state information?
6.	For which locations did the forecast accuracy fall below 50%, and how did sales compare to forecasts?
7.	What are the underperforming locations by forecast accuracy, along with their respective states?"
sql,Identify the low forecast accuracy products by customer and location.,"SELECT f.PRODUCT, f.customer, f.location, f.FORECAST AS FORECAST_QUANTITY, f.SALES, CASE  WHEN f.MAPE > 100 THEN 0 ELSE (100 - f.MAPE) END AS FORECAST_ACCURACY FROM FCSTPERFSTATIC f LEFT JOIN [LOCATION_MASTER] l ON f.LOCATION = l.LOCATION LEFT JOIN [PRODUCT_MASTER] p ON f.PRODUCT = p.PRODUCT LEFT JOIN [CUSTOMER_MASTER] c ON f.CUSTOMER = c.CUSTOMER WHERE f.START_DATE IN (FORMAT(DATEADD(MONTH, DATEDIFF(MONTH, 0, GETDATE())-1, 0), 'yyyy-MM-dd')) and lag=0 AND ((l.LEVEL = 1  AND p.LEVEL = 1 AND c.CUSTOMER_LEVEL = 1 AND (100 - f.MAPE)<50) OR (l.LEVEL = 1  AND p.LEVEL = 3 AND c.CUSTOMER_LEVEL = 3 AND (100 - f.MAPE) < 60) OR (l.LEVEL = 2 AND p.LEVEL = 4 AND c.CUSTOMER_LEVEL = 6 AND (100 - f.MAPE) < 70) OR (l.LEVEL = 2 AND p.LEVEL = 5 AND c.CUSTOMER_LEVEL = 7 AND (100 - f.MAPE) < 80) OR (l.LEVEL = 2 AND p.LEVEL = 6 AND c.CUSTOMER_LEVEL = 7 AND (100 - f.MAPE) < 85)) order by FORECAST_ACCURACY desc;","1.	Retrieve forecast accuracy for the previous month based on different levels of product, customer, and location, considering underperforming forecasts.
2.	Give products, customers, and locations that had forecast accuracies below a certain threshold for the last month, segmented by levels.
3.	Provide the forecast quantities, actual sales, and forecast accuracy for the previous month, based on different underperforming product, customer, and location levels.
4.	Mention the forecast and sales details for the previous month where the forecast accuracy is below defined thresholds at various levels of product and customer.
5.	Analyze forecast accuracy for underperforming products at different levels, comparing forecast quantities to sales for the previous month.
6.	Give customers, products, and locations combinations that have the lowest forecast accuracy for the previous month, based on various product and customer levels."
sql,Identify products with the higher forecast errors over the past 3 months.,"SELECT f.PRODUCT, f.FORECAST AS FORECAST_QUANTITY, f.SALES,f.FORECASTDATE AS FORECAST_DATE, f.START_DATE,  CASE  WHEN f.MAPE > 100 THEN 0 ELSE f.MAPE END AS FORECAST_ERROR FROM FCSTPERFSTATIC f LEFT JOIN [LOCATION_MASTER] l ON f.LOCATION = l.LOCATION LEFT JOIN [PRODUCT_MASTER] p ON f.PRODUCT = p.PRODUCT LEFT JOIN [CUSTOMER_MASTER] c ON f.CUSTOMER = c.CUSTOMER WHERE f.lag in(0,1,2,3) AND START_DATE IN (FORMAT(DATEADD(MONTH, DATEDIFF(MONTH, 0, GETDATE())-1, 0), 'yyyy-MM-dd'), FORMAT(DATEADD(MONTH, DATEDIFF(MONTH, 0, GETDATE())-2, 0), 'yyyy-MM-dd'), FORMAT(DATEADD(MONTH, DATEDIFF(MONTH, 0, GETDATE())-3, 0), 'yyyy-MM-dd')) AND ((l.LEVEL = 1  AND p.LEVEL = 1 AND c.CUSTOMER_LEVEL = 1 AND f.MAPE> 50) OR (l.LEVEL = 1  AND p.LEVEL = 3 AND c.CUSTOMER_LEVEL = 3 AND f.MAPE > 60) OR (l.LEVEL = 2 AND p.LEVEL = 4 AND c.CUSTOMER_LEVEL = 6 AND f.MAPE > 70) OR (l.LEVEL = 2 AND p.LEVEL = 5 AND c.CUSTOMER_LEVEL = 7 AND f.MAPE > 80) OR (l.LEVEL = 2 AND p.LEVEL = 6 AND c.CUSTOMER_LEVEL = 7 AND f.MAPE > 85)) order by FORECAST_ERROR desc;","1.	Which products saw rising forecast errors over the past three months, and how did their sales compare to forecasted quantities?
2.	Which products have shown the largest forecast error variations across different customer levels over the past three months?
3.	Identify the products that experienced the most significant forecast errors for high-level customers and strategic locations in the last three months.
4.	Which product categories at various customer levels had the highest forecast errors for the past quarter?
5.	Which products have shown significant variations in forecast errors across different time lags (0, 1, 2, and 3 months) in the past three months?"
sql,Mention the top-performing regions based on forecast accuracy.,"SELECT top 5 f.location as LOCATION,l.state AS STATE, c.region AS REGION, f.FORECAST, f.SALES, f.forecastdate AS FORECAST_DATE,f.start_date AS START_DATE, CASE  WHEN f.MAPE > 100 THEN 0 ELSE (100 - f.MAPE) END AS FORECAST_ACCURACY FROM FCSTPERFSTATIC f LEFT JOIN [LOCATION_MASTER] l ON f.LOCATION = l.LOCATION LEFT JOIN [PRODUCT_MASTER] p ON f.PRODUCT = p.PRODUCT LEFT JOIN [CUSTOMER_MASTER] c ON f.CUSTOMER = c.CUSTOMER WHERE f.START_DATE IN (FORMAT(DATEADD(MONTH, DATEDIFF(MONTH, 0, GETDATE())-1, 0), 'yyyy-MM-dd')) and lag=0 and (l.LEVEL = 1  AND p.LEVEL = 1 AND c.CUSTOMER_LEVEL = 1) order by FORECAST_ACCURACY desc;","1.	What are the top 5 locations with the highest forecast accuracy over the last month?
2.	What are the locations with the most accurate forecasts and the lowest forecast errors in the previous month?
3.	Identify the top locations and regions in terms of forecast accuracy for the previous month."
sql,"Find the top 5 planning item with the highest sales volume for a given product, customer and location.","SELECT TOP 5 sh.PRODUCT as PLANNING_ITEM, sh.CUSTOMER, sh.LOCATION, sh.SALES_DATE, sh.QUANTITY AS SALES FROM [SALES_HISTORY] sh JOIN [PRODUCT_MASTER] pm ON sh.PRODUCT = pm.PRODUCT WHERE  pm.TYPE = 'PI' ORDER BY sh.QUANTITY DESC;","1.	What are the top 5 planning items with the highest sales quantity?
2.	Identify the top 5 customers that have purchased the most of 'PI' type products.
3.	Which locations had the highest sales quantities for 'PI' type products?
4.	List the top 5 sales records by quantity for 'PI' type products, including customer and location details.
5.	Which customers and locations contributed the most to sales of 'PI' type products based on quantity sold?"
ddl,,"CREATE TABLE CAUSAL_FACTOR_VALUE (
    CAUSALFACTOR VARCHAR(255),
    CAUSAL_STARTDATE DATE,
    CAUSALFACTORVALUE FLOAT,
    DURATION INT
);",
ddl,,"CREATE TABLE CAUSALS (
    CAUSALFACTOR VARCHAR(255),
    PRODUCT VARCHAR(255),
    CUSTOMER VARCHAR(255),
    LOCATION VARCHAR(255),
    Multiple_Model_Framework VARCHAR(255),
    Multi_Linear_Regression VARCHAR(255),
    USERNAME_ACTIVATED VARCHAR(255)
);",
ddl,,"CREATE TABLE CUSTOMER_MASTER (
    CUSTOMER VARCHAR(255),
    DESCRIPTION VARCHAR(255),
    CUSTOMER_GROUP VARCHAR(255),
    CUSTOMER_TYPE VARCHAR(255),
    CUSTOMER_LEVEL INT,
    SEGMENT VARCHAR(255),
    REGION VARCHAR(255),
    MARKET VARCHAR(255),
    HIERARCHYLEVEL VARCHAR(255),
    SALES_OFFICE VARCHAR(255),
    CUSTOMER_TYPE_GROUP VARCHAR(255),
    DELETE_FLAG VARCHAR(255),
    ACTIVE_CUSTOMER VARCHAR(255)
);",
ddl,,"CREATE TABLE FCSTPERFSTATIC (
    PRODUCT VARCHAR(255),
    CUSTOMER VARCHAR(255),
    LOCATION VARCHAR(255),
    FORECASTDATE DATE,
    START_DATE DATE,
    DURATION VARCHAR(50),
    LAG INT,
    BASE_HISTORY FLOAT,
    NON_BASE_HISTORY FLOAT,
    SALES NUMERIC(18,2),
    BASE_FORECAST FLOAT,
    NON_BASE_FORECAST FLOAT,
    FORECAST NUMERIC(18,2),
    MAX_BASE_FORECAST_HISTORY FLOAT,
    MAX_NON_BASE_FORECAST_HISTORY FLOAT,
    MAX_TOTAL_FORECAST_HISTORY FLOAT,
    BASE_ERROR FLOAT,
    NON_BASE_ERROR FLOAT,
    TOTAL_ERROR FLOAT,
    ABS_BASE_ERROR FLOAT,
    ABS_NON_BASE_ERROR FLOAT,
    ABS_TOTAL_ERROR FLOAT,
    MODEL VARCHAR(100),
    INTERNALEVENTS INT,
    TOTFCSTLOCKADJ INT,
    RECONCILEDFCST FLOAT,
    EXTERNALEVENTS INT,
    FORECAST_OVERRIDE INT,
    JOB_ID VARCHAR(100),
    USER_ID VARCHAR(100),
    ABS_PERCENT_TOTAL_ERROR FLOAT,
    MARKET_ACTIVITY FLOAT,
    DATA_DRIVEN_EVENTS FLOAT,
    TARGET_IMPACT FLOAT,
    DFU_TO_SKU_FORECAST FLOAT,
    DFU_TO_SKU_FORECAST_ERROR FLOAT,
    ABSPCTDFUTOSKUFCSTERROR FLOAT,
    WMAPE FLOAT,
    MAPE FLOAT
);",
ddl,,"CREATE TABLE FORECAST (
    PRODUCT VARCHAR(255),
    CUSTOMER VARCHAR(255),
    LOCATION VARCHAR(255),
    FORECAST_DATE DATE,
    DURATION INT,
    TYPE INT,
    FORECAST_ID VARCHAR(100),
    QUANTITY NUMERIC(18,2),
    FORECAST_MODEL VARCHAR(100)
);",
